iter	Passed	Remaining
644	2848	1567
645	2853	1563
646	2857	1559
647	2862	1554
648	2866	1550
649	2871	1546
650	2877	1542
651	2880	1537
652	2885	1533
653	2890	1529
654	2895	1525
655	2900	1521
656	2905	1517
657	2909	1512
658	2914	1508
659	2919	1503
660	2924	1499
661	2928	1495
662	2933	1491
663	2938	1486
664	2942	1482
665	2946	1477
666	2951	1473
667	2956	1469
668	2961	1465
669	2966	1461
670	2970	1456
671	2975	1452
672	2979	1447
673	2983	1443
674	2988	1438
675	2992	1434
676	2997	1430
677	3001	1425
678	3006	1421
679	3010	1416
680	3015	1412
681	3019	1408
682	3023	1403
683	3027	1398
684	3032	1394
685	3036	1389
686	3040	1385
687	3045	1380
688	3050	1376
689	3054	1372
690	3058	1367
691	3063	1363
692	3068	1359
693	3072	1354
694	3076	1349
695	3080	1345
696	3085	1341
697	3090	1337
698	3094	1332
699	3098	1327
700	3102	1323
701	3107	1319
702	3112	1314
703	3116	1310
704	3120	1305
705	3126	1301
706	3130	1297
707	3134	1292
708	3139	1288
709	3144	1284
710	3148	1279
711	3152	1275
712	3156	1270
713	3160	1266
714	3164	1261
715	3167	1256
716	3171	1251
717	3176	1247
718	3179	1242
719	3184	1238
720	3188	1233
721	3192	1229
722	3196	1224
723	3199	1219
724	3203	1215
725	3208	1210
726	3213	1206
727	3216	1201
728	3220	1197
729	3224	1192
730	3229	1188
731	3234	1184
732	3238	1179
733	3241	1174
734	3246	1170
735	3249	1165
736	3253	1160
737	3257	1156
738	3261	1151
739	3265	1147
740	3270	1143
741	3274	1138
742	3279	1134
743	3283	1129
744	3288	1125
745	3291	1120
746	3296	1116
747	3300	1111
748	3304	1107
749	3308	1102
750	3312	1098
751	3316	1093
752	3320	1089
753	3324	1084
754	3328	1080
755	3332	1075
756	3336	1070
757	3341	1066
758	3345	1062
759	3349	1057
760	3354	1053
761	3357	1048
762	3362	1044
763	3367	1040
764	3372	1035
765	3375	1031
766	3379	1026
767	3384	1022
768	3388	1017
769	3392	1013
770	3397	1009
771	3401	1004
772	3406	1000
773	3410	995
774	3415	991
775	3418	986
776	3422	982
777	3426	977
778	3430	973
779	3434	968
780	3438	964
781	3442	959
782	3446	955
783	3450	950
784	3454	946
785	3458	941
786	3462	937
787	3467	932
788	3472	928
789	3478	924
790	3482	920
791	3487	915
792	3491	911
793	3496	907
794	3500	902
795	3504	898
796	3508	893
797	3513	889
798	3517	884
799	3521	880
800	3527	876
801	3531	871
802	3535	867
803	3540	863
804	3545	858
805	3549	854
806	3553	849
807	3558	845
808	3562	840
809	3566	836
810	3570	832
811	3574	827
812	3578	823
813	3582	818
814	3587	814
815	3591	809
816	3595	805
817	3601	801
818	3605	796
819	3609	792
820	3613	787
821	3618	783
822	3622	779
823	3626	774
824	3630	770
825	3635	765
826	3639	761
827	3644	756
828	3648	752
829	3653	748
830	3657	743
831	3662	739
832	3666	735
833	3671	730
834	3675	726
835	3679	721
836	3683	717
837	3686	712
838	3690	708
839	3694	703
840	3698	699
841	3703	694
842	3707	690
843	3711	686
844	3715	681
845	3720	677
846	3723	672
847	3728	668
848	3732	663
849	3737	659
850	3740	654
851	3744	650
852	3748	646
853	3752	641
854	3757	637
855	3761	632
856	3766	628
857	3770	623
858	3774	619
859	3778	615
860	3783	610
861	3787	606
862	3791	601
863	3795	597
864	3799	593
865	3803	588
866	3808	584
867	3812	579
868	3817	575
869	3822	571
870	3826	566
871	3830	562
872	3834	557
873	3839	553
874	3844	549
875	3848	544
876	3852	540
877	3857	535
878	3860	531
879	3864	527
880	3869	522
881	3874	518
882	3879	514
883	3885	509
884	3892	505
885	3898	501
886	3903	497
887	3908	492
888	3912	488
889	3918	484
890	3923	479
891	3926	475
892	3930	470
893	3934	466
894	3938	462
895	3941	457
896	3945	453
897	3950	448
898	3955	444
899	3959	439
900	3963	435
901	3968	431
902	3971	426
903	3975	422
904	3979	417
905	3984	413
906	3987	408
907	3992	404
908	3996	400
909	4000	395
910	4004	391
911	4009	386
912	4013	382
913	4017	378
914	4021	373
915	4025	369
916	4029	364
917	4032	360
918	4037	355
919	4041	351
920	4045	347
921	4049	342
922	4054	338
923	4058	333
924	4062	329
925	4067	325
926	4072	320
927	4076	316
928	4080	311
929	4085	307
930	4090	303
931	4094	298
932	4098	294
933	4102	289
934	4106	285
935	4111	281
936	4115	276
937	4119	272
938	4123	267
939	4127	263
940	4132	259
941	4137	254
942	4140	250
943	4145	245
944	4150	241
945	4153	237
946	4158	232
947	4163	228
948	4169	224
949	4173	219
950	4177	215
951	4181	210
952	4185	206
953	4190	202
954	4194	197
955	4198	193
956	4202	188
957	4206	184
958	4211	180
959	4215	175
960	4220	171
961	4224	166
962	4228	162
963	4232	158
964	4236	153
965	4241	149
966	4246	144
967	4250	140
968	4253	136
969	4257	131
970	4261	127
971	4265	122
972	4270	118
973	4273	114
974	4278	109
975	4282	105
976	4286	100
977	4289	96
978	4293	92
979	4298	87
980	4302	83
981	4306	78
982	4311	74
983	4314	70
984	4318	65
985	4322	61
