iter	Passed	Remaining
193	3231	13424
194	3248	13410
195	3265	13396
196	3283	13382
197	3299	13365
198	3317	13352
199	3335	13342
200	3352	13327
201	3367	13304
202	3385	13290
203	3401	13273
204	3418	13258
205	3435	13243
206	3453	13228
207	3469	13212
208	3486	13196
209	3499	13166
210	3516	13148
211	3533	13134
212	3550	13118
213	3566	13100
214	3579	13069
215	3595	13051
216	3608	13021
217	3621	12992
218	3634	12962
219	3647	12931
220	3660	12901
221	3673	12872
222	3685	12841
223	3697	12810
224	3711	12784
225	3728	12768
226	3745	12754
227	3758	12724
228	3771	12697
229	3784	12668
230	3795	12636
231	3808	12608
232	3820	12577
233	3833	12547
234	3845	12518
235	3858	12490
236	3871	12464
237	3884	12436
238	3896	12407
239	3910	12381
240	3922	12352
241	3934	12322
242	3946	12294
243	3959	12268
244	3976	12253
245	3994	12242
246	4011	12229
247	4028	12214
248	4044	12199
249	4061	12185
250	4074	12157
251	4086	12130
252	4099	12104
253	4112	12079
254	4125	12053
255	4138	12027
256	4151	12002
257	4164	11976
258	4177	11951
259	4189	11925
260	4202	11898
261	4215	11873
262	4228	11848
263	4240	11822
264	4253	11796
265	4266	11772
266	4279	11747
267	4291	11721
268	4304	11698
269	4320	11680
270	4333	11657
271	4346	11633
272	4359	11609
273	4372	11584
274	4384	11560
275	4397	11536
276	4410	11512
277	4423	11488
278	4435	11463
279	4447	11437
280	4459	11410
281	4471	11384
282	4484	11360
283	4500	11345
284	4516	11331
285	4533	11316
286	4549	11303
287	4566	11288
288	4582	11274
289	4598	11259
290	4615	11246
291	4632	11231
292	4648	11217
293	4661	11194
294	4673	11169
295	4687	11147
296	4703	11133
297	4719	11118
298	4732	11094
299	4748	11080
300	4764	11064
301	4779	11047
302	4796	11032
303	4808	11009
304	4825	10995
305	4837	10971
306	4853	10956
307	4866	10932
308	4878	10908
309	4891	10886
310	4903	10864
311	4916	10841
312	4928	10817
313	4940	10794
314	4952	10770
315	4965	10748
316	4978	10727
317	4991	10704
318	5004	10683
319	5016	10660
320	5033	10647
321	5046	10626
322	5059	10605
323	5076	10591
324	5090	10571
325	5103	10551
326	5116	10530
327	5129	10508
328	5142	10487
329	5156	10468
330	5169	10448
331	5182	10427
332	5195	10407
333	5208	10385
334	5221	10364
335	5235	10345
336	5248	10325
337	5261	10304
338	5274	10284
339	5286	10262
340	5300	10242
341	5313	10222
342	5325	10201
343	5339	10182
344	5352	10162
345	5365	10142
346	5378	10122
347	5391	10101
348	5404	10081
349	5417	10061
350	5430	10040
351	5444	10022
352	5457	10003
353	5471	9985
354	5485	9966
355	5498	9946
356	5511	9927
357	5524	9907
358	5537	9887
359	5549	9866
360	5562	9846
361	5575	9826
362	5588	9806
363	5601	9787
364	5614	9768
365	5627	9748
366	5641	9730
367	5655	9712
368	5667	9692
369	5680	9672
370	5693	9653
371	5705	9632
372	5719	9614
373	5732	9595
374	5745	9576
375	5759	9557
376	5772	9538
377	5785	9519
378	5798	9500
379	5812	9483
380	5825	9465
381	5839	9446
382	5855	9432
383	5871	9418
384	5883	9399
385	5896	9379
386	5909	9360
387	5922	9341
388	5934	9321
389	5947	9301
390	5959	9282
391	5971	9262
392	5984	9242
393	5997	9224
394	6009	9204
395	6022	9185
396	6034	9165
397	6046	9145
398	6059	9126
399	6071	9107
400	6083	9087
401	6096	9068
402	6108	9049
403	6121	9030
404	6134	9011
405	6146	8993
